epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9937,0.62831,6.49494,0.01156,0,0,0,0,0.38878,3.72607,0.00902,0.00010842,0.00010842,0.00010842
2,37.2439,0.60507,6.17452,0.01077,0.04505,0.38568,0.09745,0.08746,0.49387,3.50971,0.0126,0.000218822,0.000218822,0.000218822
3,45.6444,0.63632,5.5327,0.01184,0.77086,0.09559,0.23149,0.19733,0.62127,2.8697,0.01656,0.000326995,0.000326995,0.000326995
4,54.207,0.72284,4.76386,0.0135,0.53679,0.15274,0.28638,0.23073,0.7359,2.43744,0.02002,0.000404615,0.000404615,0.000404615
5,62.5894,0.72541,4.23873,0.01352,0.40067,0.411,0.39515,0.3266,0.68719,1.98185,0.01851,0.000400487,0.000400487,0.000400487
6,70.9433,0.72328,3.86955,0.01355,0.48828,0.43533,0.45673,0.37909,0.66966,1.84965,0.01769,0.000396358,0.000396358,0.000396358
7,79.3625,0.72937,3.44501,0.01405,0.50098,0.4653,0.5073,0.39845,0.76971,1.68828,0.02194,0.00039223,0.00039223,0.00039223
8,87.7019,0.7306,3.08174,0.01379,0.56442,0.55618,0.58907,0.47526,0.75745,1.46691,0.02112,0.000388102,0.000388102,0.000388102
9,96.097,0.74039,2.85887,0.0141,0.61907,0.55231,0.59019,0.49038,0.72275,1.51728,0.0199,0.000383974,0.000383974,0.000383974
10,104.967,0.69816,2.56593,0.01281,0.54532,0.55514,0.57364,0.47868,0.70221,1.52467,0.01896,0.000379845,0.000379845,0.000379845
11,113.309,0.70754,2.38023,0.01319,0.60592,0.51907,0.56215,0.45639,0.73588,1.5473,0.01968,0.000375717,0.000375717,0.000375717
12,121.63,0.70938,2.2192,0.01377,0.63947,0.57095,0.60322,0.50499,0.70734,1.45162,0.01911,0.000371589,0.000371589,0.000371589
13,130.036,0.71076,2.04468,0.01329,0.68602,0.60579,0.67351,0.551,0.71402,1.23325,0.01932,0.00036746,0.00036746,0.00036746
14,138.555,0.69493,1.9379,0.0132,0.68309,0.58918,0.6692,0.55773,0.68544,1.27618,0.01809,0.000363332,0.000363332,0.000363332
15,146.908,0.69632,1.7563,0.01274,0.63114,0.59588,0.63198,0.52466,0.68781,1.38725,0.01858,0.000359204,0.000359204,0.000359204
16,155.215,0.69892,1.71741,0.01285,0.60394,0.59661,0.64129,0.5339,0.6923,1.34786,0.01851,0.000355076,0.000355076,0.000355076
17,163.63,0.71268,1.63632,0.01323,0.67204,0.64586,0.68977,0.5642,0.72714,1.19675,0.02047,0.000350947,0.000350947,0.000350947
18,172.022,0.69224,1.51472,0.013,0.67051,0.67787,0.70374,0.59477,0.66825,1.15182,0.01778,0.000346819,0.000346819,0.000346819
19,180.518,0.68283,1.43118,0.01296,0.65199,0.64026,0.67709,0.56997,0.65802,1.25374,0.01771,0.000342691,0.000342691,0.000342691
20,188.812,0.6668,1.3537,0.0123,0.6861,0.64403,0.67926,0.55847,0.70203,1.20222,0.019,0.000338562,0.000338562,0.000338562
21,197.249,0.67778,1.31607,0.01279,0.68284,0.67409,0.71863,0.59459,0.71629,1.13826,0.01951,0.000334434,0.000334434,0.000334434
22,205.637,0.67031,1.25026,0.01252,0.66044,0.64086,0.69127,0.56217,0.69408,1.25108,0.01916,0.000330306,0.000330306,0.000330306
23,213.949,0.65923,1.2261,0.01221,0.72255,0.6917,0.72561,0.58996,0.70862,1.13822,0.01947,0.000326177,0.000326177,0.000326177
24,222.308,0.67449,1.21875,0.01244,0.75775,0.65201,0.7379,0.61899,0.6646,1.06509,0.01768,0.000322049,0.000322049,0.000322049
25,230.755,0.66329,1.10749,0.01218,0.74147,0.6371,0.72845,0.61142,0.68166,1.05911,0.01797,0.000317921,0.000317921,0.000317921
26,239.14,0.67377,1.10745,0.01273,0.69911,0.64338,0.72779,0.61839,0.64302,1.11378,0.01677,0.000313792,0.000313792,0.000313792
27,247.416,0.65251,1.05817,0.01227,0.74589,0.67195,0.73639,0.60321,0.70605,1.09374,0.01901,0.000309664,0.000309664,0.000309664
28,255.678,0.64254,1.04028,0.01173,0.73039,0.70924,0.76761,0.64691,0.64997,1.01437,0.01675,0.000305536,0.000305536,0.000305536
29,264.115,0.64911,1.01416,0.01186,0.68766,0.70995,0.73439,0.61037,0.6966,1.12478,0.01869,0.000301408,0.000301408,0.000301408
30,272.431,0.64341,0.97006,0.01195,0.68713,0.71491,0.75336,0.6277,0.69453,1.043,0.0181,0.000297279,0.000297279,0.000297279
31,280.805,0.64341,0.96531,0.01197,0.7544,0.67607,0.75302,0.62932,0.64794,1.06166,0.017,0.000293151,0.000293151,0.000293151
32,289.139,0.62424,0.91864,0.01153,0.75949,0.7203,0.77927,0.64951,0.6753,0.97422,0.01789,0.000289023,0.000289023,0.000289023
33,297.442,0.63559,0.91305,0.01177,0.78341,0.71492,0.77469,0.65706,0.62348,1.00316,0.01612,0.000284894,0.000284894,0.000284894
34,305.79,0.62253,0.87841,0.01153,0.7537,0.74445,0.78629,0.6629,0.6508,0.96579,0.01706,0.000280766,0.000280766,0.000280766
35,314.164,0.63622,0.87777,0.01175,0.77293,0.69907,0.76606,0.64455,0.68423,1.03582,0.01814,0.000276638,0.000276638,0.000276638
36,322.515,0.62484,0.85757,0.01145,0.69663,0.71026,0.75551,0.63701,0.66688,1.03142,0.0175,0.000272509,0.000272509,0.000272509
37,330.867,0.61462,0.83368,0.01125,0.78802,0.66617,0.75261,0.62997,0.65569,1.09664,0.0176,0.000268381,0.000268381,0.000268381
38,339.19,0.6126,0.82583,0.01115,0.73826,0.73565,0.77553,0.65906,0.63866,0.9353,0.01674,0.000264253,0.000264253,0.000264253
39,347.526,0.61191,0.8142,0.01138,0.82566,0.71386,0.79569,0.67423,0.634,0.94041,0.01636,0.000260125,0.000260125,0.000260125
40,355.902,0.62619,0.7943,0.01141,0.74303,0.70713,0.76171,0.64616,0.66923,1.03926,0.01752,0.000255996,0.000255996,0.000255996
41,364.25,0.62392,0.78329,0.01137,0.78113,0.71076,0.77917,0.66295,0.65391,0.98448,0.01732,0.000251868,0.000251868,0.000251868
42,372.613,0.60183,0.75933,0.01106,0.7852,0.71446,0.78973,0.67266,0.63643,0.95337,0.0166,0.00024774,0.00024774,0.00024774
43,380.946,0.59214,0.75115,0.01092,0.70339,0.74186,0.76515,0.65006,0.64331,1.03515,0.01657,0.000243611,0.000243611,0.000243611
44,389.239,0.61754,0.77446,0.01124,0.79993,0.70825,0.79685,0.66726,0.68788,0.96426,0.01855,0.000239483,0.000239483,0.000239483
45,398.005,0.59244,0.75162,0.01101,0.80556,0.6973,0.79116,0.67692,0.61855,0.96174,0.01599,0.000235355,0.000235355,0.000235355
46,406.398,0.59949,0.73151,0.01082,0.77055,0.73742,0.78671,0.67227,0.64753,0.9632,0.01705,0.000231226,0.000231226,0.000231226
47,414.739,0.59474,0.71224,0.01088,0.79917,0.72828,0.79249,0.67204,0.64997,0.93237,0.01715,0.000227098,0.000227098,0.000227098
48,423.075,0.5784,0.71359,0.01042,0.77715,0.75845,0.78718,0.67388,0.63497,0.93328,0.0164,0.00022297,0.00022297,0.00022297
49,431.385,0.57273,0.71057,0.01027,0.80178,0.69231,0.7901,0.67573,0.63889,0.94838,0.01637,0.000218842,0.000218842,0.000218842
50,439.698,0.57661,0.68691,0.01058,0.77636,0.75625,0.78737,0.67073,0.63764,0.9271,0.01672,0.000214713,0.000214713,0.000214713
51,448.069,0.58217,0.68839,0.01074,0.7549,0.74227,0.78035,0.66206,0.6479,0.9397,0.01678,0.000210585,0.000210585,0.000210585
52,456.393,0.55399,0.68472,0.01024,0.78359,0.73516,0.8098,0.67878,0.67032,0.87225,0.01799,0.000206457,0.000206457,0.000206457
53,464.981,0.56349,0.68064,0.01016,0.80729,0.73971,0.80955,0.68597,0.63434,0.85609,0.01649,0.000202328,0.000202328,0.000202328
54,473.301,0.56285,0.66937,0.01035,0.82521,0.72021,0.79632,0.68069,0.62073,0.89958,0.01598,0.0001982,0.0001982,0.0001982
55,481.593,0.56139,0.65691,0.01007,0.80255,0.73537,0.79616,0.67789,0.65181,0.92159,0.01725,0.000194072,0.000194072,0.000194072
56,489.851,0.56062,0.65768,0.01008,0.79228,0.74127,0.81141,0.68683,0.64606,0.86906,0.01707,0.000189943,0.000189943,0.000189943
57,498.152,0.57152,0.64025,0.01006,0.78379,0.74383,0.79629,0.6759,0.64068,0.89511,0.01694,0.000185815,0.000185815,0.000185815
58,506.355,0.55333,0.63954,0.01027,0.83103,0.72252,0.80628,0.69248,0.60639,0.87209,0.0156,0.000181687,0.000181687,0.000181687
59,514.703,0.56366,0.63561,0.01022,0.80733,0.76606,0.8146,0.70001,0.60268,0.86693,0.01526,0.000177559,0.000177559,0.000177559
60,522.939,0.53968,0.59242,0.00972,0.81558,0.75998,0.82198,0.70242,0.61909,0.85979,0.01578,0.00017343,0.00017343,0.00017343
61,531.298,0.55356,0.60246,0.00987,0.80954,0.72345,0.79558,0.67817,0.6281,0.89216,0.01636,0.000169302,0.000169302,0.000169302
62,539.536,0.53805,0.60378,0.00959,0.81749,0.72283,0.80643,0.68942,0.61437,0.90227,0.01614,0.000165174,0.000165174,0.000165174
63,547.773,0.53817,0.57804,0.00963,0.79244,0.74043,0.79162,0.68668,0.5918,0.88912,0.0152,0.000161045,0.000161045,0.000161045
64,556.117,0.54276,0.58556,0.00992,0.83144,0.73212,0.81001,0.6959,0.6113,0.85136,0.01584,0.000156917,0.000156917,0.000156917
65,564.452,0.54225,0.60239,0.0095,0.80639,0.75506,0.81338,0.69644,0.60876,0.88027,0.01583,0.000152789,0.000152789,0.000152789
66,572.748,0.53242,0.59551,0.00974,0.80466,0.74902,0.8011,0.68756,0.60895,0.90332,0.01573,0.00014866,0.00014866,0.00014866
