epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8404,0.70061,12.5389,0.0134,0.19612,0.25477,0.12394,0.1058,0.66676,3.32932,0.01925,0.000136377,0.000136377,0.000136377
2,94.684,0.75796,4.75168,0.01486,0.33092,0.38659,0.33627,0.26875,0.79642,2.0194,0.02372,0.000272651,0.000272651,0.000272651
3,136.817,0.79439,2.90575,0.01557,0.46731,0.35184,0.38796,0.28781,0.94148,2.13447,0.02944,0.000406173,0.000406173,0.000406173
4,183.483,0.85248,2.2325,0.01672,0.52818,0.55484,0.57034,0.43529,0.89772,1.60393,0.02689,0.000404615,0.000404615,0.000404615
5,227.535,0.83081,1.87201,0.01636,0.60379,0.58145,0.62168,0.48139,0.86771,1.43943,0.02573,0.000400487,0.000400487,0.000400487
6,273.225,0.8442,1.63691,0.01661,0.65528,0.6048,0.63135,0.50112,0.81361,1.37452,0.02407,0.000396358,0.000396358,0.000396358
7,320.162,0.8232,1.47293,0.0158,0.66534,0.66093,0.69081,0.53636,0.82792,1.1712,0.02513,0.00039223,0.00039223,0.00039223
8,363.55,0.81375,1.39526,0.01597,0.65637,0.68072,0.71651,0.56324,0.81165,1.10946,0.02379,0.000388102,0.000388102,0.000388102
9,405.369,0.79313,1.28477,0.01559,0.69103,0.62641,0.69018,0.55508,0.76694,1.17033,0.02236,0.000383974,0.000383974,0.000383974
10,452.073,0.77115,1.27105,0.01479,0.72441,0.69,0.75346,0.61078,0.77848,1.0097,0.02237,0.000379845,0.000379845,0.000379845
11,490.013,0.79512,1.20195,0.0152,0.74662,0.65954,0.71903,0.55694,0.85614,1.13934,0.02589,0.000375717,0.000375717,0.000375717
12,531.146,0.78261,1.13367,0.0154,0.7032,0.68267,0.74599,0.59931,0.79122,1.00859,0.02284,0.000371589,0.000371589,0.000371589
13,566.4,0.78635,1.0944,0.01561,0.71881,0.69269,0.72643,0.58744,0.72022,1.1043,0.02057,0.00036746,0.00036746,0.00036746
14,603.403,0.77179,1.0688,0.01509,0.68863,0.70607,0.73464,0.5842,0.78819,1.1389,0.023,0.000363332,0.000363332,0.000363332
15,638.569,0.77407,1.02783,0.01475,0.72242,0.6918,0.75752,0.60667,0.7671,0.98954,0.02202,0.000359204,0.000359204,0.000359204
16,676.609,0.74476,1.03048,0.01452,0.73729,0.69595,0.77317,0.6245,0.7951,0.95511,0.02363,0.000355076,0.000355076,0.000355076
17,714.444,0.74142,0.94662,0.01433,0.72866,0.69637,0.76657,0.62801,0.7502,0.96687,0.02166,0.000350947,0.000350947,0.000350947
18,751.892,0.73058,0.92136,0.01376,0.7457,0.77627,0.80535,0.65426,0.75136,0.87389,0.02145,0.000346819,0.000346819,0.000346819
19,789.471,0.70759,0.89697,0.01359,0.79127,0.73925,0.79406,0.63685,0.73516,0.9335,0.02089,0.000342691,0.000342691,0.000342691
20,823.677,0.69546,0.88137,0.01328,0.77168,0.69528,0.77433,0.64373,0.69584,0.98763,0.0196,0.000338562,0.000338562,0.000338562
