epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6232,0.64687,6.64815,0.01217,0.01239,0.79818,0.06332,0.05119,0.53327,3.35723,0.01425,0.000137676,0.000137676,0.000137676
2,30.9217,0.65056,5.88236,0.01206,0.50119,0.19223,0.20214,0.16259,0.67155,2.58208,0.01933,0.000273937,0.000273937,0.000273937
3,41.7865,0.70392,5.02067,0.01344,0.33527,0.37847,0.33798,0.27279,0.69161,2.07994,0.01956,0.000407446,0.000407446,0.000407446
4,52.4714,0.7415,4.39676,0.01405,0.47733,0.39695,0.43659,0.35176,0.73819,1.78742,0.02113,0.000404615,0.000404615,0.000404615
5,63.171,0.74725,3.87838,0.01405,0.50497,0.41397,0.43723,0.35725,0.69584,1.78936,0.02048,0.000400487,0.000400487,0.000400487
6,73.8518,0.74368,3.47307,0.01414,0.50737,0.50006,0.49281,0.40999,0.68567,1.6253,0.01944,0.000396358,0.000396358,0.000396358
7,84.454,0.74639,3.16475,0.01437,0.51416,0.53136,0.53285,0.44021,0.6982,1.53021,0.01966,0.00039223,0.00039223,0.00039223
8,95.2148,0.73096,2.83332,0.01383,0.53257,0.54373,0.55714,0.46001,0.69157,1.46011,0.02,0.000388102,0.000388102,0.000388102
9,105.865,0.7462,2.61878,0.01412,0.5815,0.55947,0.58134,0.47616,0.69327,1.43474,0.01981,0.000383974,0.000383974,0.000383974
10,116.555,0.73195,2.40022,0.01392,0.60315,0.58058,0.61307,0.49907,0.7556,1.34971,0.02269,0.000379845,0.000379845,0.000379845
11,127.207,0.71264,2.22862,0.01359,0.5561,0.60823,0.61433,0.51506,0.66876,1.32264,0.01916,0.000375717,0.000375717,0.000375717
12,137.825,0.73919,2.14215,0.0145,0.58683,0.57097,0.62588,0.51091,0.68517,1.31295,0.01951,0.000371589,0.000371589,0.000371589
13,148.407,0.70886,1.97832,0.01386,0.58744,0.57921,0.62433,0.51633,0.70749,1.32288,0.02099,0.00036746,0.00036746,0.00036746
14,159.059,0.70587,1.86053,0.01324,0.62778,0.59586,0.65407,0.54342,0.6839,1.20534,0.01937,0.000363332,0.000363332,0.000363332
15,169.716,0.71084,1.73466,0.01306,0.67026,0.65116,0.67337,0.55276,0.66891,1.17342,0.01908,0.000359204,0.000359204,0.000359204
16,180.364,0.71096,1.66355,0.01375,0.66956,0.56423,0.65813,0.53979,0.69949,1.23746,0.02017,0.000355076,0.000355076,0.000355076
17,191.164,0.70559,1.5897,0.01349,0.59033,0.66684,0.66183,0.54093,0.70923,1.25097,0.02106,0.000350947,0.000350947,0.000350947
18,201.887,0.71135,1.52787,0.01327,0.65642,0.66288,0.68857,0.56949,0.68187,1.16614,0.01956,0.000346819,0.000346819,0.000346819
19,212.514,0.69709,1.44321,0.01341,0.65746,0.62748,0.68629,0.56672,0.68166,1.21505,0.01947,0.000342691,0.000342691,0.000342691
20,223.149,0.68769,1.40597,0.01309,0.63905,0.6722,0.68943,0.57422,0.69477,1.16459,0.0203,0.000338562,0.000338562,0.000338562
21,233.775,0.6797,1.36977,0.01282,0.71906,0.61222,0.69225,0.57224,0.68963,1.19331,0.02006,0.000334434,0.000334434,0.000334434
22,244.458,0.69832,1.31901,0.01293,0.66072,0.62333,0.67714,0.55329,0.68529,1.22283,0.01958,0.000330306,0.000330306,0.000330306
23,255.104,0.68422,1.32102,0.01321,0.66164,0.6491,0.69476,0.57726,0.69966,1.14665,0.02011,0.000326177,0.000326177,0.000326177
24,265.74,0.69123,1.27166,0.01291,0.6862,0.66144,0.71199,0.58128,0.69768,1.14331,0.02033,0.000322049,0.000322049,0.000322049
25,276.494,0.67316,1.20324,0.01269,0.66655,0.66364,0.70498,0.58718,0.65411,1.12888,0.01875,0.000317921,0.000317921,0.000317921
26,287.281,0.66115,1.20474,0.01262,0.6735,0.67199,0.71111,0.58572,0.69477,1.12291,0.01964,0.000313792,0.000313792,0.000313792
27,297.979,0.67296,1.15715,0.01288,0.72504,0.62301,0.70803,0.59413,0.66097,1.11571,0.01853,0.000309664,0.000309664,0.000309664
28,308.658,0.65243,1.15616,0.01242,0.68907,0.65359,0.70146,0.57909,0.68413,1.12634,0.01967,0.000305536,0.000305536,0.000305536
29,319.255,0.66445,1.10288,0.01269,0.67225,0.68463,0.71913,0.60258,0.64564,1.13317,0.01833,0.000301408,0.000301408,0.000301408
30,329.909,0.66348,1.09018,0.01243,0.69173,0.70659,0.72697,0.61013,0.63867,1.0728,0.01783,0.000297279,0.000297279,0.000297279
