epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3203,0.72903,6.98754,0.01468,0.01154,0.78809,0.05972,0.04873,0.63404,3.35619,0.01989,0.000137676,0.000137676,0.000137676
2,29.7615,0.72376,6.24064,0.01426,0.49342,0.15687,0.17571,0.14363,0.77504,2.73147,0.02522,0.000273937,0.000273937,0.000273937
3,40.7175,0.77233,5.37511,0.01555,0.34423,0.42417,0.31934,0.25596,0.83826,2.18605,0.02727,0.000407446,0.000407446,0.000407446
4,51.3737,0.83725,4.74413,0.01686,0.41344,0.38627,0.37766,0.31322,0.79488,1.94781,0.02504,0.000404615,0.000404615,0.000404615
5,62.1027,0.81584,4.17178,0.01632,0.3887,0.48031,0.41732,0.34263,0.80053,1.87603,0.02526,0.000400487,0.000400487,0.000400487
6,72.749,0.81122,3.77974,0.01646,0.5301,0.45807,0.4944,0.40215,0.8354,1.62712,0.02649,0.000396358,0.000396358,0.000396358
7,83.2797,0.81216,3.37383,0.01645,0.46495,0.5097,0.50059,0.41462,0.77453,1.6392,0.02462,0.00039223,0.00039223,0.00039223
8,93.9312,0.80778,3.10935,0.01611,0.55053,0.54673,0.52635,0.42264,0.77426,1.588,0.02449,0.000388102,0.000388102,0.000388102
9,104.55,0.79317,2.83383,0.01581,0.5728,0.48596,0.51739,0.42657,0.78994,1.53266,0.02499,0.000383974,0.000383974,0.000383974
10,115.195,0.79914,2.58753,0.01589,0.54714,0.53899,0.56314,0.44424,0.85325,1.47315,0.02765,0.000379845,0.000379845,0.000379845
11,125.779,0.79559,2.42157,0.01601,0.52677,0.54877,0.57888,0.48049,0.74727,1.48017,0.02359,0.000375717,0.000375717,0.000375717
12,136.491,0.81061,2.31645,0.01656,0.54868,0.61663,0.60012,0.47864,0.80848,1.36798,0.02567,0.000371589,0.000371589,0.000371589
13,147.091,0.78878,2.17776,0.01606,0.60479,0.56944,0.61543,0.50772,0.74383,1.36232,0.02314,0.00036746,0.00036746,0.00036746
14,157.769,0.77236,2.04403,0.01543,0.54137,0.55626,0.57048,0.47117,0.77465,1.48769,0.02451,0.000363332,0.000363332,0.000363332
15,168.367,0.79734,1.96674,0.01597,0.63159,0.59382,0.61315,0.49817,0.76766,1.31341,0.02397,0.000359204,0.000359204,0.000359204
16,179.039,0.77745,1.88793,0.01582,0.66934,0.5947,0.62771,0.51768,0.7756,1.28116,0.02428,0.000355076,0.000355076,0.000355076
17,189.636,0.78377,1.75671,0.01563,0.65994,0.60482,0.65686,0.5275,0.78535,1.27384,0.02458,0.000350947,0.000350947,0.000350947
18,200.285,0.75911,1.7175,0.01517,0.66888,0.60062,0.65165,0.54095,0.7443,1.27002,0.02331,0.000346819,0.000346819,0.000346819
19,210.961,0.73938,1.61528,0.01502,0.59246,0.6032,0.61833,0.50984,0.76861,1.34947,0.02454,0.000342691,0.000342691,0.000342691
20,221.588,0.76419,1.6201,0.01547,0.60523,0.64939,0.65446,0.53309,0.75685,1.27572,0.02376,0.000338562,0.000338562,0.000338562
21,232.235,0.75801,1.53371,0.01528,0.59924,0.62821,0.63491,0.52626,0.75305,1.32784,0.02354,0.000334434,0.000334434,0.000334434
22,242.831,0.75288,1.53015,0.01484,0.61085,0.61179,0.64387,0.5285,0.74027,1.30153,0.02291,0.000330306,0.000330306,0.000330306
23,253.486,0.75187,1.4882,0.01499,0.67024,0.61773,0.66492,0.54092,0.76191,1.2412,0.02352,0.000326177,0.000326177,0.000326177
24,264.066,0.76219,1.48148,0.0151,0.65184,0.60891,0.6376,0.52367,0.74356,1.33849,0.02306,0.000322049,0.000322049,0.000322049
25,274.639,0.71707,1.36448,0.01399,0.69009,0.60432,0.65776,0.5324,0.78197,1.2607,0.02497,0.000317921,0.000317921,0.000317921
26,285.237,0.741,1.37713,0.01502,0.64392,0.6346,0.66559,0.54966,0.74909,1.19619,0.02348,0.000313792,0.000313792,0.000313792
27,295.864,0.73045,1.329,0.01466,0.63478,0.64215,0.66523,0.54698,0.75803,1.17745,0.02363,0.000309664,0.000309664,0.000309664
28,306.612,0.71238,1.30697,0.0142,0.68773,0.62362,0.65669,0.54495,0.751,1.23691,0.02342,0.000305536,0.000305536,0.000305536
29,317.605,0.71006,1.24984,0.01433,0.64109,0.61618,0.64626,0.53084,0.74848,1.29903,0.02328,0.000301408,0.000301408,0.000301408
30,328.332,0.72772,1.24407,0.01459,0.64044,0.64601,0.66697,0.541,0.7621,1.27638,0.02368,0.000297279,0.000297279,0.000297279
31,338.955,0.71849,1.25306,0.01421,0.68339,0.59295,0.63929,0.52876,0.74784,1.26726,0.02294,0.000293151,0.000293151,0.000293151
32,349.578,0.70998,1.20773,0.01422,0.6527,0.65668,0.67219,0.55233,0.75311,1.24403,0.02333,0.000289023,0.000289023,0.000289023
33,360.185,0.72553,1.2265,0.01456,0.64123,0.67721,0.66064,0.54702,0.74753,1.25556,0.0232,0.000284894,0.000284894,0.000284894
34,370.871,0.69582,1.17251,0.01357,0.66734,0.62729,0.66097,0.54397,0.74887,1.21987,0.02304,0.000280766,0.000280766,0.000280766
35,381.498,0.69815,1.13789,0.01403,0.66828,0.65368,0.66885,0.55392,0.75176,1.21435,0.02337,0.000276638,0.000276638,0.000276638
36,392.134,0.70154,1.1476,0.01379,0.62653,0.67877,0.67064,0.54849,0.75754,1.22118,0.0232,0.000272509,0.000272509,0.000272509
37,402.773,0.70131,1.14871,0.01393,0.64181,0.67985,0.6701,0.54618,0.7807,1.26285,0.02468,0.000268381,0.000268381,0.000268381
