epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0019,0.52613,0.58654,0.00991,0.79238,0.76996,0.80008,0.67986,0.61658,0.88604,0.01639,0.000137676,0.000137676,0.000137676
2,32.0136,0.55322,0.63054,0.01012,0.80386,0.71837,0.79382,0.66551,0.65028,0.94124,0.01764,0.000273937,0.000273937,0.000273937
3,42.7932,0.58466,0.63384,0.01078,0.75987,0.73183,0.76888,0.6415,0.69937,0.97751,0.01967,0.000407446,0.000407446,0.000407446
4,53.8639,0.60823,0.68516,0.0113,0.75145,0.75487,0.79511,0.64845,0.73386,0.95153,0.021,0.000404615,0.000404615,0.000404615
5,65.6903,0.62297,0.717,0.01128,0.79983,0.68196,0.78064,0.63827,0.72604,0.95355,0.0202,0.000400487,0.000400487,0.000400487
6,78.0057,0.62555,0.723,0.01186,0.79655,0.72098,0.7695,0.63437,0.72746,1.00975,0.02044,0.000396358,0.000396358,0.000396358
7,89.8633,0.61234,0.70915,0.01139,0.79803,0.70243,0.7838,0.65252,0.67737,0.97812,0.01857,0.00039223,0.00039223,0.00039223
8,102.306,0.59456,0.70149,0.0111,0.81844,0.68309,0.76786,0.64028,0.69801,1.00078,0.01907,0.000388102,0.000388102,0.000388102
9,113.662,0.60159,0.71403,0.01087,0.7161,0.71991,0.754,0.60565,0.74368,1.05333,0.02131,0.000383974,0.000383974,0.000383974
10,125.043,0.60765,0.6775,0.01133,0.73233,0.71673,0.76167,0.62895,0.70273,1.01797,0.01945,0.000379845,0.000379845,0.000379845
11,136.978,0.6073,0.69382,0.01111,0.82281,0.68916,0.77782,0.64308,0.68346,1.02965,0.01929,0.000375717,0.000375717,0.000375717
12,148.812,0.5986,0.68892,0.0116,0.74254,0.66538,0.7472,0.6052,0.72703,1.14691,0.0208,0.000371589,0.000371589,0.000371589
13,160.427,0.6195,0.71504,0.01153,0.78575,0.71957,0.77857,0.62558,0.75889,0.9729,0.02131,0.00036746,0.00036746,0.00036746
14,172.318,0.59574,0.68947,0.01135,0.75641,0.73013,0.77373,0.63531,0.70143,1.03021,0.0198,0.000363332,0.000363332,0.000363332
15,184.017,0.60851,0.67513,0.01137,0.77254,0.70236,0.76951,0.63012,0.70151,1.00592,0.01977,0.000359204,0.000359204,0.000359204
16,195.901,0.60862,0.67477,0.01162,0.76808,0.73643,0.78042,0.64053,0.7363,0.97651,0.02084,0.000355076,0.000355076,0.000355076
17,207.868,0.60029,0.66504,0.01116,0.80327,0.73906,0.80964,0.67013,0.70234,0.86337,0.01919,0.000350947,0.000350947,0.000350947
18,219.43,0.59586,0.66446,0.01101,0.79305,0.74352,0.78484,0.6477,0.69932,0.90519,0.01929,0.000346819,0.000346819,0.000346819
19,231.01,0.60027,0.66825,0.01113,0.72849,0.76759,0.78421,0.64702,0.70401,0.95506,0.01966,0.000342691,0.000342691,0.000342691
20,242.352,0.59365,0.66789,0.01105,0.78951,0.71847,0.79698,0.6532,0.67794,0.93782,0.01873,0.000338562,0.000338562,0.000338562
21,253.84,0.60844,0.68059,0.0111,0.82488,0.74897,0.81647,0.67505,0.70762,0.86741,0.01985,0.000334434,0.000334434,0.000334434
22,265.194,0.58959,0.64162,0.01081,0.76019,0.71905,0.77954,0.64518,0.69017,0.97444,0.01868,0.000330306,0.000330306,0.000330306
23,276.633,0.57947,0.62517,0.01071,0.80268,0.74994,0.80913,0.67192,0.67224,0.89892,0.01871,0.000326177,0.000326177,0.000326177
24,288.323,0.59526,0.62624,0.01086,0.81012,0.7172,0.78756,0.65599,0.67801,0.95349,0.01861,0.000322049,0.000322049,0.000322049
25,300.055,0.59334,0.61657,0.01091,0.81065,0.68907,0.77483,0.64071,0.69292,1.02935,0.0193,0.000317921,0.000317921,0.000317921
26,311.906,0.59261,0.60938,0.01066,0.81132,0.70786,0.79548,0.65819,0.68534,0.99993,0.01886,0.000313792,0.000313792,0.000313792
27,323.741,0.58131,0.60826,0.01063,0.80851,0.70649,0.78551,0.64747,0.70589,0.96682,0.01952,0.000309664,0.000309664,0.000309664
28,335.521,0.57537,0.61259,0.01082,0.76033,0.71896,0.77503,0.64612,0.6746,1.02813,0.01848,0.000305536,0.000305536,0.000305536
29,347.286,0.56678,0.58161,0.01043,0.8024,0.71568,0.77377,0.64453,0.69724,1.01029,0.0193,0.000301408,0.000301408,0.000301408
30,359.049,0.5503,0.58486,0.0102,0.81611,0.71592,0.78906,0.65761,0.67622,0.93219,0.0186,0.000297279,0.000297279,0.000297279
31,370.836,0.56833,0.58896,0.01034,0.83202,0.71416,0.79108,0.66505,0.66951,0.93694,0.0183,0.000293151,0.000293151,0.000293151
32,382.853,0.56546,0.56858,0.01053,0.79935,0.74434,0.80762,0.67273,0.68314,0.87276,0.01874,0.000289023,0.000289023,0.000289023
33,394.495,0.58298,0.59666,0.01065,0.84466,0.72826,0.81063,0.66925,0.69825,0.88585,0.01918,0.000284894,0.000284894,0.000284894
34,406.065,0.55297,0.57866,0.01015,0.79289,0.72874,0.78815,0.6503,0.6988,0.95293,0.01938,0.000280766,0.000280766,0.000280766
35,417.782,0.57802,0.5916,0.01031,0.77447,0.74607,0.79037,0.65637,0.70508,0.92946,0.01968,0.000276638,0.000276638,0.000276638
36,429.379,0.55457,0.54235,0.01013,0.7981,0.77071,0.82018,0.68294,0.6828,0.83191,0.01855,0.000272509,0.000272509,0.000272509
37,440.999,0.54649,0.56026,0.01002,0.79816,0.75477,0.79485,0.65075,0.69537,0.92408,0.01899,0.000268381,0.000268381,0.000268381
38,452.719,0.55906,0.56612,0.01015,0.76487,0.73752,0.78229,0.6562,0.6557,0.97685,0.0176,0.000264253,0.000264253,0.000264253
39,464.352,0.5419,0.54847,0.00975,0.83741,0.74139,0.81151,0.68245,0.66163,0.87912,0.01798,0.000260125,0.000260125,0.000260125
40,475.909,0.54835,0.54005,0.0098,0.81847,0.74224,0.80726,0.66751,0.65803,0.93628,0.01799,0.000255996,0.000255996,0.000255996
41,487.634,0.54138,0.53876,0.01001,0.79139,0.74334,0.79138,0.67106,0.65917,0.99271,0.01809,0.000251868,0.000251868,0.000251868
42,499.254,0.53394,0.5477,0.00974,0.78182,0.73288,0.78724,0.66578,0.64869,0.96509,0.01758,0.00024774,0.00024774,0.00024774
43,510.745,0.55206,0.54423,0.00984,0.82457,0.73259,0.79915,0.67506,0.65291,0.90577,0.0176,0.000243611,0.000243611,0.000243611
44,522.268,0.55081,0.54025,0.01007,0.74311,0.77258,0.7798,0.65792,0.66561,0.96271,0.01814,0.000239483,0.000239483,0.000239483
45,533.706,0.53881,0.52478,0.00992,0.80486,0.71288,0.78384,0.661,0.66857,0.97948,0.01797,0.000235355,0.000235355,0.000235355
46,544.99,0.52887,0.5359,0.00975,0.82476,0.74803,0.80976,0.68148,0.66069,0.87476,0.0178,0.000231226,0.000231226,0.000231226
47,556.371,0.53411,0.51749,0.00973,0.83109,0.71265,0.79873,0.66477,0.65666,0.9298,0.01765,0.000227098,0.000227098,0.000227098
48,567.867,0.52798,0.50793,0.0092,0.83239,0.73027,0.79842,0.66565,0.68163,0.95629,0.01857,0.00022297,0.00022297,0.00022297
49,579.506,0.51505,0.49244,0.00941,0.78898,0.76087,0.79973,0.67176,0.64943,0.91969,0.01748,0.000218842,0.000218842,0.000218842
50,591.149,0.51994,0.50187,0.00944,0.83378,0.71659,0.80213,0.67956,0.63616,0.91356,0.01715,0.000214713,0.000214713,0.000214713
51,602.557,0.50825,0.49093,0.00924,0.81567,0.73858,0.80077,0.67453,0.66017,0.94293,0.0179,0.000210585,0.000210585,0.000210585
52,614.126,0.50597,0.51701,0.00904,0.8231,0.72652,0.78567,0.66597,0.64919,0.95024,0.01736,0.000206457,0.000206457,0.000206457
53,625.542,0.52038,0.50277,0.00939,0.81525,0.73358,0.79155,0.66618,0.64963,0.95239,0.01748,0.000202328,0.000202328,0.000202328
54,637.046,0.53259,0.51682,0.00926,0.80941,0.74702,0.80208,0.67561,0.64925,0.88675,0.01758,0.0001982,0.0001982,0.0001982
55,648.501,0.50684,0.46612,0.00912,0.82466,0.71854,0.80185,0.67475,0.63973,0.94157,0.01732,0.000194072,0.000194072,0.000194072
56,660.013,0.50295,0.49015,0.00891,0.78464,0.73965,0.78627,0.66914,0.62846,0.99555,0.01674,0.000189943,0.000189943,0.000189943
57,671.464,0.49144,0.45244,0.00877,0.80063,0.74724,0.79065,0.66907,0.64284,0.94448,0.0174,0.000185815,0.000185815,0.000185815
58,683.147,0.50935,0.48902,0.00918,0.79195,0.74741,0.79213,0.67273,0.63878,0.93422,0.01723,0.000181687,0.000181687,0.000181687
59,694.836,0.50697,0.46809,0.00934,0.83115,0.72518,0.79131,0.67292,0.62961,0.92794,0.01685,0.000177559,0.000177559,0.000177559
60,706.455,0.49339,0.47131,0.00895,0.80701,0.72608,0.79147,0.6776,0.63118,0.93216,0.01696,0.00017343,0.00017343,0.00017343
61,718.196,0.47862,0.46131,0.0086,0.84496,0.71486,0.79051,0.67596,0.6436,0.97748,0.01704,0.000169302,0.000169302,0.000169302
62,729.915,0.48217,0.47797,0.00849,0.83094,0.73952,0.79676,0.67743,0.64668,0.92866,0.01732,0.000165174,0.000165174,0.000165174
63,741.494,0.48842,0.46746,0.0088,0.80279,0.74843,0.80754,0.68791,0.6402,0.92292,0.01719,0.000161045,0.000161045,0.000161045
64,753.077,0.49747,0.47921,0.00907,0.8294,0.72058,0.79435,0.67481,0.65021,0.92724,0.01755,0.000156917,0.000156917,0.000156917
